age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
24,M,246,En Couple,1,false,3656 FP 76
19,M,1015,C?libataire,0,false,7570 IZ 35
44,M,1302,En Couple,2,false,7982 WP 98
59,M,756,En Couple,0,false,7734 FQ 22
31,M,537,En Couple,1,false,545 OU 16
83,F,204,C?libataire,0,false,3897 MH 61
55,M,567,En Couple,0,false,9988 LB 86
24,F,734,C?libataire,0,false,6577 MW 69
51,M,553,C?libataire,0,false,8305 VH 14
63,Homme,409,En Couple,0,false,8480 IT 96
27,M,758,En Couple,1,false,7598 QU 84
53,F,1149,C?libataire,0,false,6927 AO 24
40,F,242,En Couple,1,false,1483 RS 60
23,F,471,C?libataire,0,false,8210 DI 24
52,M,425,C?libataire,0,false,2144 EP 73
35,M,555,En Couple,3,true,2537 PU 28
73,F,417,C?libataire,0,false,5713 JQ 49
29,M,814,C?libataire,0,false,7690 RW 61
53,M,547,En Couple,2,true,7211 UA 42
52,M,579,C?libataire,0,false,8410 PJ 91
27,Masculin,231,C?libataire,0,false,4870 YM 81
32,M,1041,C?libataire,0,false,3603 EH 17
84,M,588,C?libataire,0,false,4498 CU 97
73,M,211,En Couple,2,true,3052 AR 85
18,F,155,En Couple,0,false,7868 VW 21
29,F,452,C?libataire,0,false,7270 EV 28
45,M,707,En Couple,1,false,5320 AU 64
33,F,588,C?libataire,0,false,7355 PB 72
78,Femme,890,C?libataire,0,false,9078 GQ 26
23,M,587,C?libataire,0,false,5567 UA 20
77,M,844,En Couple,1,false,2270 LR 44
18,F,1120,En Couple,2,false,3633 WP 84
26,M,1357,En Couple,4,false,2646 SS 79
71,M,529,En Couple,1,false,6024 VJ 71
21,M,236,En Couple,3,false,5352 GW 88
42,M,835,En Couple,1,false,1031 AP 33
41,F,405,En Couple,0,false,5566 GW 54
63,M,1355,En Couple,2,false,8107 WG 58
62,F,158,C?libataire,0,false,7144 OS 78
19,M,1396,C?libataire,0,false,4425 JE 67
27,M,1087,En Couple,2,false,8098 ST 50
51,F,405,En Couple,0,false,9539 BZ 98
28,F,1279,En Couple,2,false,8417 HB 45
63,M,437,En Couple,2,true,5778 QH 80
31,M,1393,En Couple,0,true,9828 NN 62
59,F,542,En Couple,1,true,2842 AH 86
60,M,487,En Couple,4,false,4372 JM 48
24,M,183,En Couple,3,false,2314 ON 38
80,M,1048,C?libataire,0,false,8278 HX 68
27,M,218,En Couple,1,false,3995 LA 22
56,M,182,En Couple,1,false,1093 ZH 41
29,M,451,C?libataire,0,false,5966 YS 52
66,M,203,C?libataire,0,false,2890 WF 21
27,M,163,En Couple,0,false,1024 ZH 89
50,M,548,En Couple,2,false,6774 MP 95
83,M,508,C?libataire,0,false,4840 EF 87
54,M,1300,C?libataire,0,false,3108 NZ 89
41,F,506,Seule,2,false,837 JM 16
42,F,871,En Couple,0,false,217 WB 86
46,M,247,En Couple,1,false,3809 UB 61
49,M,757,En Couple,4,true,3318 GR 94
55,F,238,C?libataire,0,false,6514 CT 60
57,F,470,En Couple,1,false,4754 PF 35
51,M,459,En Couple,4,false,8710 YE 40
59,F,484,C?libataire,0,false,737 DO 74
21,M,411,En Couple,1,false,1684 SC 30
32,F,547,En Couple,0,false,9058 ZD 50
25,M,243,C?libataire,0,false,2095 PB 18
28,M,589,En Couple,2,true,1658 SZ 54
19,M,587,En Couple,2,false,5188 XY 39
64,M,1204,En Couple,1,false,9563 BC 52
36,F,1343,C?libataire,0,false,6744 VT 29
23,M,449,C?libataire,0,false,2178 LO 33
39,M,428,En Couple,1,false,5052 DJ 36
21,M,757,En Couple,1,false,7650 YQ 40
29,M,792,C?libataire,0,false,4251 ZL 51
48,M,223,En Couple,2,false,2555 QL 36
46,M,1334,En Couple,4,false,840 ZG 88
37,M,572,En Couple,3,false,6231 UY 83
30,F,560,En Couple,2,false,7395 RK 70
36,Masculin,161,En Couple,2,false,9241 BW 45
38,M,158,En Couple,1,false,8594 YG 70
31,M,805,En Couple,2,false,3710 RO 15
76,M,473,En Couple,0,true,857 OQ 54
49,F,166,C?libataire,0,false,2141 GA 27
79,M,248,En Couple,0,false,228 RD 48
70,Femme,1118,En Couple,1,false,5144 MS 24
52,F,1283,C?libataire,0,false,8234 JL 92
19,M,559,C?libataire,0,false,8411 IS 23
18,F,156,C?libataire,0,false,2457 YX 69
19,F,563,C?libataire,0,false,5002 ZR 66
50,M,412,En Couple,3,true,3486 DL 95
28,M,1328,C?libataire,0,false,7556 FS 87
21,F,442,En Couple,2,false,12 PG 28
41,M,1001,C?libataire,0,false,4244 WS 70
38,M,485,En Couple,4,false,9313 JL 74
53,M,189,En Couple,1,false,844 QW 96
57,M,531,En Couple,1,false,4390 AF 39
67,M,569,En Couple,2,true,393 MH 59
56,M,985,En Couple,0,true,3229 TS 87
20,M,1262,En Couple,0,false,3636 GJ 30
81,M,209,C?libataire,0,false,8371 OP 46
80,M,199,En Couple,2,true,8109 CJ 46
69,M,160,En Couple,0,false,1309 MJ 46
40,M,816,En Couple,1,false,1824 EC 50
39,M,1349,En Couple,1,true,2316 DK 16
28,F,233,En Couple,2,false,6017 EQ 60
34,F,876,C?libataire,0,false,2907 IO 42
32,M,529,C?libataire,0,false,785 PZ 17
37,M,549,En Couple,2,false,285 DK 43
20,F,416,En Couple,3,true,232 UY 26
70,M,415,En Couple,1,true,3665 RW 47
40,M,407,En Couple,2,false,9994 EF 15
51,F,445,C?libataire,0,false,7840 PZ 46
84,M,565,En Couple,2,false,3765 KO 35
56,M,222,En Couple,2,true,8427 DV 46
35,M,548,En Couple,3,false,4478 DZ 49
48,M,936,En Couple,2,false,191 FE 77
32,M,224,C?libataire,0,false,9609 VR 57
36,M,1311,Seule,3,false,1042 QD 77
24,M,160,En Couple,2,false,1584 QX 80
35,F,1375,En Couple,2,false,6277 TZ 95
75,M,518,En Couple,4,false,9480 ET 21
23,M,908,En Couple,0,true,7601 VA 96
21,F,1059,Seule,2,false,1617 JA 78
26,M,1382,En Couple,2,false,4780 AL 66
29,M,1262,En Couple,0,false,8628 LB 66
40,M,558,C?libataire,0,false,1651 IZ 51
42,F,431,En Couple,4,false,6165 QX 60
28,M,498,En Couple,1,false,6671 AJ 19
83,Masculin,559,En Couple,2,false,4304 YZ 76
27,M,434,C?libataire,0,false,8930 IB 10
29,F,466,En Couple,2,true,2845 EG 55
72,M,1152,En Couple,2,false,3049 DE 42
46,M,421,En Couple,4,false,1629 CW 96
44,F,592,En Couple,3,false,9305 QR 16
68,F,214,En Couple,0,true,3756 CP 26
24,M,245,C?libataire,0,false,4691 WQ 24
76,M,543,En Couple,4,true,7599 IT 67
24,M,558,En Couple,3,false,4193 FD 63
25,M,890,En Couple,2,true,4549 YN 95
27,M,1026,C?libataire,0,false,8376 ZP 23
18,F,1176,C?libataire,0,false,9352 RM 60
64,M,1111,En Couple,1,false,5591 TO 61
20,F,480,En Couple,1,false,6170 HT 76
52,M,430,En Couple,2,false,4692 EL 70
18,M,517,C?libataire,0,false,3034 RV 26
40,F,566,En Couple, ,false,6547 XG 30
74,F,530,C?libataire,0,false,5886 ZZ 20
58,M,1341,En Couple,4,false,6912 SH 22
38,M,794,Seule,2,false,5816 OV 87
40,F,451,En Couple,0,false,4817 VX 12
26,M,414,En Couple,0,false,9828 FC 42
44,F,779,C?libataire,0,false,2775 BX 32
48,M,523,En Couple,4,false,5301 BG 62
65,M,543,En Couple,1,false,8651 TQ 74
48,M,449,En Couple,1,false,9133 RI 39
34,M,177,En Couple,1,false,5283 JS 18
47,F,1226,En Couple,4,false,9331 TV 46
50,M,174,En Couple,3,true,8140 DR 36
47,M,1122,C?libataire,0,false,2684 LY 37
25,F,1001,C?libataire,0,false,767 LK 31
26,M,1101,C?libataire,0,false,9988 YM 63
48,M,218,En Couple,1,false,1965 OU 89
58,M,863,En Couple,2,false,2356 ZF 72
20,F,598,En Couple,0,false,1909 DR 73
47,M,962,En Couple,3,false,2284 CL 82
24,F,428,C?libataire,0,false,8699 KN 20
21,M,566,En Couple,0,true,9927 PG 18
47,M,715,En Couple,0,false,2272 JL 51
21,F,591,En Couple,4,true,4091 JN 62
31,M,1130,En Couple,2,true,4062 SW 41
29,M,242,En Couple,4,false,824 XJ 83
